forecast;parameter;TT;Td;Tx;Tn;Tm;Tg;dd;ff;fx;fx3;RR1;RR3;RR12;RR24;ww;ww3;N;Nf;PPPP;SS1;SS3;SS24
today 12 UTC;unit;°C;°C;°C;°C;°C;°C;°;km/h;km/h;km/h;mm;mm;mm;mm;WW Code;WW Code;1/8;1/8;hPa;h;h;h
28.05.25;00:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;01:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;02:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;03:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;04:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;05:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;06:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;07:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;08:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;09:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;10:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;11:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;12:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
28.05.25;13:00;17.7;14.4;---;---;---;18.3;232;14.8;35.2;35.2;1.7;---;---;---;63;0;8;8;1014.9;0.0;---;---
28.05.25;14:00;17.4;14.3;---;---;---;18.0;239;14.8;37.0;38.9;1.0;---;---;---;63;0;8;8;1014.8;0.0;---;---
28.05.25;15:00;17.2;14.2;---;---;---;17.5;244;14.8;37.0;44.5;0.9;3.6;---;---;63;63;8;7;1015.0;0.0;0.1;---
28.05.25;16:00;16.8;14.0;---;---;---;17.0;248;14.8;35.2;42.6;0.9;2.8;---;---;63;63;7;7;1015.3;0.0;0.1;---
28.05.25;17:00;16.4;13.4;---;---;---;16.4;254;13.0;35.2;42.6;0.8;2.6;---;---;61;63;7;7;1015.8;0.1;0.1;---
28.05.25;18:00;15.8;12.9;19.8;14.5;---;15.2;259;11.1;31.5;40.8;0.7;2.4;---;---;61;63;7;7;1016.5;0.1;0.2;---
28.05.25;19:00;15.2;12.7;---;---;---;14.6;258;9.3;27.8;37.0;0.4;1.9;---;---;61;61;7;6;1017.4;0.1;0.3;---
28.05.25;20:00;14.5;12.1;---;---;---;13.7;258;9.3;24.1;33.3;0.2;1.3;---;---;61;61;6;6;1018.4;0.1;0.3;---
28.05.25;21:00;13.8;11.8;---;---;---;12.7;262;9.3;22.2;29.6;0.2;0.8;---;---;61;61;6;6;1019.3;0.0;0.2;---
28.05.25;22:00;13.4;11.4;---;---;---;12.0;261;7.4;18.5;25.9;0.1;0.5;---;---;61;61;6;6;1020.0;0.0;0.1;---
28.05.25;23:00;12.8;11.1;---;---;---;11.5;264;7.4;18.5;24.1;0.0;0.3;---;---;3;61;6;5;1020.6;0.0;0.0;---
29.05.25;00:00;12.4;10.8;---;---;---;10.9;269;7.4;16.7;20.4;0.0;0.1;6.9;---;2;61;6;5;1021.1;0.0;0.0;---
29.05.25;01:00;12.1;10.4;---;---;---;10.6;268;5.5;14.8;18.5;0.0;0.0;5.2;---;2;3;6;5;1021.5;0.0;0.0;---
29.05.25;02:00;11.7;10.2;---;---;---;10.5;263;5.5;13.0;16.7;0.0;0.0;4.2;---;2;2;7;6;1022.0;0.0;0.0;---
29.05.25;03:00;11.8;10.1;---;---;---;10.7;257;5.5;11.1;16.7;0.0;0.0;3.3;---;2;2;7;6;1022.4;0.0;0.0;---
29.05.25;04:00;12.1;10.0;---;---;---;11.6;251;3.7;11.1;14.8;0.0;0.0;2.4;---;3;3;7;6;1022.9;0.1;0.1;---
29.05.25;05:00;12.8;10.1;---;---;---;12.8;250;5.5;11.1;13.0;0.0;0.0;1.6;---;3;3;8;6;1023.4;0.2;0.2;---
29.05.25;06:00;13.4;10.4;15.9;11.0;---;14.3;240;5.5;11.1;13.0;0.0;0.0;0.9;---;3;3;8;7;1024.0;0.3;0.5;---
29.05.25;07:00;14.5;10.5;---;---;---;15.9;239;5.5;13.0;14.8;0.0;0.0;0.5;---;3;3;8;7;1024.2;0.3;0.7;---
29.05.25;08:00;15.4;10.4;---;---;---;17.5;243;7.4;14.8;16.7;0.0;0.0;0.3;---;3;3;8;7;1024.1;0.2;0.7;---
29.05.25;09:00;16.2;10.3;---;---;---;18.6;242;7.4;18.5;18.5;0.0;0.0;0.1;---;3;3;8;8;1024.1;0.2;0.7;---
29.05.25;10:00;17.1;10.2;---;---;---;19.8;241;9.3;20.4;20.4;0.0;0.0;0.0;---;3;3;8;7;1024.1;0.2;0.7;---
29.05.25;11:00;17.7;10.1;---;---;---;20.9;240;9.3;22.2;24.1;0.0;0.0;0.0;---;3;3;8;8;1023.9;0.2;0.7;---
29.05.25;12:00;18.6;10.3;---;---;14.9;21.4;239;9.3;24.1;25.9;0.0;0.0;0.0;6.9;3;3;8;8;1023.5;0.2;0.7;2.3
29.05.25;13:00;19.2;10.4;---;---;14.9;21.8;236;11.1;25.9;25.9;0.0;0.0;0.0;5.2;3;3;8;8;1023.4;0.2;0.6;2.5
29.05.25;14:00;19.4;10.7;---;---;15.0;22.0;235;9.3;25.9;27.8;0.0;0.0;0.0;4.2;3;3;8;8;1023.0;0.2;0.6;2.6
29.05.25;15:00;19.7;11.1;---;---;15.1;21.5;234;9.3;24.1;27.8;0.0;0.0;0.0;3.3;3;3;8;8;1022.6;0.1;0.5;2.7
