forecast;parameter;TT;Td;Tx;Tn;Tm;Tg;dd;ff;fx;fx3;RR1;RR3;RR12;RR24;ww;ww3;N;Nf;PPPP;SS1;SS3;SS24
today 00 UTC;unit;°C;°C;°C;°C;°C;°C;°;km/h;km/h;km/h;mm;mm;mm;mm;WW Code;WW Code;1/8;1/8;hPa;h;h;h
29.05.25;00:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
29.05.25;01:00;12.5;9.6;---;---;---;10.4;281;5.5;13.0;20.4;0.0;---;---;---;2;0;7;5;1021.5;0.0;---;---
29.05.25;02:00;12.1;9.5;---;---;---;10.2;276;3.7;11.1;16.7;0.0;---;---;---;2;0;7;5;1021.9;0.0;---;---
29.05.25;03:00;12.1;9.4;---;---;---;10.5;267;3.7;11.1;14.8;0.0;0.0;---;---;2;2;7;5;1022.3;0.0;0.0;---
29.05.25;04:00;12.3;9.4;---;---;---;11.4;256;3.7;9.3;13.0;0.0;0.0;---;---;2;2;7;6;1023.0;0.1;0.1;---
29.05.25;05:00;12.8;9.6;---;---;---;12.7;251;3.7;9.3;13.0;0.0;0.0;---;---;2;2;7;6;1023.5;0.2;0.3;---
29.05.25;06:00;13.5;9.9;16.8;11.3;---;14.1;245;3.7;11.1;11.1;0.0;0.0;---;---;3;3;8;7;1024.1;0.3;0.5;---
29.05.25;07:00;14.4;10.0;---;---;---;15.6;239;5.5;13.0;14.8;0.0;0.0;---;---;3;3;8;7;1024.3;0.2;0.7;---
29.05.25;08:00;15.3;10.1;---;---;---;17.1;234;7.4;16.7;16.7;0.0;0.0;---;---;3;3;8;7;1024.2;0.2;0.7;---
29.05.25;09:00;16.2;10.2;---;---;---;18.5;237;7.4;18.5;18.5;0.0;0.0;---;---;3;3;8;7;1024.1;0.3;0.7;---
29.05.25;10:00;17.1;10.1;---;---;---;19.6;234;9.3;20.4;20.4;0.0;0.0;---;---;3;3;8;7;1024.1;0.3;0.8;---
29.05.25;11:00;17.8;10.4;---;---;---;20.9;238;9.3;22.2;22.2;0.0;0.0;---;---;3;3;8;8;1023.9;0.2;0.8;---
29.05.25;12:00;18.3;10.6;---;---;---;20.9;240;9.3;24.1;25.9;0.0;0.0;0.0;---;3;3;8;8;1023.5;0.2;0.7;---
29.05.25;13:00;18.8;10.8;---;---;---;20.9;234;9.3;24.1;25.9;0.0;0.0;0.0;---;3;3;8;8;1023.3;0.2;0.6;---
29.05.25;14:00;19.2;10.9;---;---;---;20.9;234;9.3;24.1;25.9;0.0;0.0;0.0;---;3;3;8;8;1023.1;0.1;0.5;---
29.05.25;15:00;19.4;11.7;---;---;---;20.5;229;9.3;22.2;25.9;0.0;0.0;0.0;---;3;3;8;8;1022.8;0.1;0.4;---
29.05.25;16:00;19.5;11.9;---;---;---;20.3;224;9.3;22.2;25.9;0.0;0.0;0.0;---;3;3;8;7;1022.5;0.1;0.3;---
29.05.25;17:00;19.4;12.1;---;---;---;19.6;225;9.3;22.2;24.1;0.0;0.0;0.0;---;3;3;7;7;1022.2;0.1;0.3;---
29.05.25;18:00;18.8;12.3;20.7;13.5;---;18.4;218;7.4;20.4;24.1;0.0;0.0;0.0;---;3;3;7;7;1022.1;0.1;0.3;---
29.05.25;19:00;18.2;12.6;---;---;---;17.6;214;5.5;16.7;22.2;0.0;0.0;0.0;---;3;3;7;7;1022.1;0.1;0.3;---
29.05.25;20:00;17.5;12.5;---;---;---;16.4;208;5.5;14.8;20.4;0.0;0.0;0.0;---;3;3;7;7;1022.2;0.1;0.3;---
29.05.25;21:00;16.9;12.5;---;---;---;15.4;204;5.5;14.8;18.5;0.0;0.0;0.0;---;3;3;7;7;1022.3;0.0;0.1;---
29.05.25;22:00;16.5;12.4;---;---;---;14.9;212;5.5;14.8;18.5;0.0;0.0;0.0;---;3;3;7;6;1022.4;0.0;0.1;---
