forecast;parameter;TT;Td;Tx;Tn;Tm;Tg;dd;ff;fx;fx3;RR1;RR3;RR12;RR24;ww;ww3;N;Nf;PPPP;SS1;SS3;SS24
today 10 UTC;unit;°C;°C;°C;°C;°C;°C;°;km/h;km/h;km/h;mm;mm;mm;mm;WW Code;WW Code;1/8;1/8;hPa;h;h;h
22.11.24;00:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;01:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;02:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;03:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;04:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;05:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;06:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;07:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;08:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;09:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;10:00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
22.11.24;11:00;1.8;-2.8;---;---;---;2.2;222;16.7;37.0;38.9;0.0;---;---;---;1;0;5;5;1005.7;0.5;---;---
22.11.24;12:00;2.2;-2.5;---;---;---;2.6;223;16.7;37.0;42.6;0.0;0.0;---;---;3;0;6;6;1005.9;0.4;---;---
22.11.24;13:00;2.3;-2.3;---;---;---;2.2;225;16.7;37.0;42.6;0.0;0.0;---;---;3;3;7;6;1006.1;0.3;1.1;---
22.11.24;14:00;2.4;-2.0;---;---;---;2.0;222;18.5;38.9;42.6;0.0;0.0;---;---;3;3;8;7;1006.3;0.1;0.8;---
22.11.24;15:00;2.3;-1.7;---;---;---;1.3;222;16.7;38.9;42.6;0.0;0.0;---;---;68;68;8;7;1006.7;0.1;0.5;---
22.11.24;16:00;2.3;-1.6;---;---;---;1.2;221;16.7;38.9;42.6;0.1;0.1;---;---;68;68;8;8;1007.5;0.1;0.3;---
22.11.24;17:00;2.2;-1.3;---;---;---;1.3;223;18.5;38.9;42.6;0.1;0.2;---;---;61;68;8;8;1008.1;0.0;0.1;---
22.11.24;18:00;2.2;-1.1;3.2;-1.4;---;1.6;223;18.5;38.9;42.6;0.1;0.3;---;---;61;68;8;8;1008.7;0.0;0.1;---
22.11.24;19:00;2.1;-0.7;---;---;---;1.5;226;16.7;38.9;40.8;0.1;0.3;---;---;61;61;8;8;1010.2;0.0;0.0;---
22.11.24;20:00;2.3;-0.4;---;---;---;1.4;228;16.7;37.0;40.8;0.1;0.3;---;---;61;61;8;7;1011.6;0.0;0.0;---
22.11.24;21:00;2.3;-0.3;---;---;---;1.2;229;14.8;33.3;38.9;0.1;0.3;---;---;61;61;7;7;1012.7;0.0;0.0;---
22.11.24;22:00;2.3;-0.2;---;---;---;1.2;230;14.8;29.6;37.0;0.1;0.3;0.7;---;61;61;7;7;1014.5;0.0;0.0;---
22.11.24;23:00;2.4;-0.1;---;---;---;1.1;231;13.0;29.6;35.2;0.1;0.3;0.8;---;61;61;8;7;1016.0;0.0;0.0;---
23.11.24;00:00;2.3;0.0;---;---;---;1.0;227;13.0;27.8;31.5;0.1;0.3;0.9;---;61;61;7;7;1017.2;0.0;0.0;---
23.11.24;01:00;2.4;0.1;---;---;---;1.2;225;13.0;25.9;31.5;0.0;0.2;0.9;---;61;61;8;7;1018.5;0.0;0.0;---
23.11.24;02:00;2.5;0.2;---;---;---;1.1;222;13.0;24.1;29.6;0.0;0.1;0.9;---;61;61;8;7;1019.2;0.0;0.0;---
23.11.24;03:00;2.5;0.1;---;---;---;0.8;222;13.0;25.9;27.8;0.0;0.0;0.9;---;68;68;8;7;1019.9;0.0;0.0;---
23.11.24;04:00;2.4;0.1;---;---;---;0.8;217;13.0;25.9;27.8;0.0;0.0;0.8;---;3;68;8;7;1020.9;0.0;0.0;---
23.11.24;05:00;2.4;0.0;---;---;---;1.0;217;11.1;25.9;27.8;0.0;0.0;0.7;---;3;68;8;7;1021.7;0.0;0.0;---
23.11.24;06:00;2.4;0.0;3.1;1.4;---;0.8;213;11.1;24.1;27.8;0.0;0.0;0.6;---;3;3;8;7;1022.4;0.0;0.0;---
